date,checked_at,cutoff,key,name,meter_id,remaining_kwh,price_cny_per_kwh,remaining_cny,level
2026-09-04,2026-09-04T07:38:48+00:00,2026/9/4 0:00:00,air_conditioner,空调电表,44229,0,0.48,0,alert
2026-09-04,2026-09-04T07:38:52+00:00,2026/9/4 0:00:00,lighting,照明电表,44588,91,0.48,43.68,ok
2026-09-05,2026-09-05T12:32:46+00:00,2026/9/5 0:00:00,air_conditioner,空调电表,44229,85,0.48,40.8,ok
2026-09-05,2026-09-05T12:32:47+00:00,2026/9/5 0:00:00,lighting,照明电表,44588,89,0.48,42.72,ok
2026-09-06,2026-09-06T04:42:53+00:00,2026/9/6 0:00:00,air_conditioner,空调电表,44229,82,0.48,39.36,ok
2026-09-06,2026-09-06T04:42:55+00:00,2026/9/6 0:00:00,lighting,照明电表,44588,87,0.48,41.76,ok
2026-09-07,2026-09-07T04:46:01+00:00,2026/9/7 0:00:00,air_conditioner,空调电表,44229,78,0.48,37.44,ok
2026-09-07,2026-09-07T04:46:04+00:00,2026/9/7 0:00:00,lighting,照明电表,44588,86,0.48,41.28,ok
2026-09-08,2026-09-08T04:40:52+00:00,2026/9/8 0:00:00,air_conditioner,空调电表,44229,74,0.48,35.52,ok
2026-09-08,2026-09-08T04:40:55+00:00,2026/9/8 0:00:00,lighting,照明电表,44588,83,0.48,39.84,ok
2026-09-09,2026-09-09T04:46:03+00:00,2026/9/9 0:00:00,air_conditioner,空调电表,44229,72,0.48,34.56,ok
2026-09-09,2026-09-09T04:46:05+00:00,2026/9/9 0:00:00,lighting,照明电表,44588,81,0.48,38.88,ok
2026-09-10,2026-09-10T04:46:29+00:00,2026/9/10 0:00:00,air_conditioner,空调电表,44229,69,0.48,33.12,ok
2026-09-10,2026-09-10T04:46:31+00:00,2026/9/10 0:00:00,lighting,照明电表,44588,79,0.48,37.92,ok
2026-09-11,2026-09-11T04:44:38+00:00,2026/9/11 0:00:00,air_conditioner,空调电表,44229,67,0.48,32.16,ok
2026-09-11,2026-09-11T04:44:39+00:00,2026/9/11 0:00:00,lighting,照明电表,44588,78,0.48,37.44,ok
